item_id,name,base_price,demand,rarity,historical_value,season_factor,final_price
1,Antique_Item_1,960,0.76,0.84,0.52,0.21,5717.822668799999
2,Antique_Item_2,3872,0.67,0.6,0.59,0.17,19246.634035199997
3,Antique_Item_3,3192,0.9,0.58,0.36,0.4,18244.859135999995
4,Antique_Item_4,566,0.52,0.32,0.63,0.42,2628.51160704
5,Antique_Item_5,4526,0.21,0.18,0.13,0.5,10953.467646
6,Antique_Item_6,3544,0.74,0.91,0.13,0.27,16902.79378896
7,Antique_Item_7,3271,0.78,0.91,0.84,0.25,25577.71534
8,Antique_Item_8,3019,0.61,0.67,0.42,0.41,16252.228407659995
9,Antique_Item_9,230,0.79,0.41,0.21,0.24,870.9776987999999
10,Antique_Item_10,1785,0.54,0.41,0.57,0.47,8945.3026971
11,Antique_Item_11,869,0.57,0.75,0.79,0.44,6154.2197639999995
12,Antique_Item_12,2491,0.48,0.91,0.29,0.27,11536.18578204
13,Antique_Item_13,2533,0.12,0.9,0.66,0.4,12526.880576000003
14,Antique_Item_14,1284,0.2,0.8,0.18,0.4,4581.722879999999
15,Antique_Item_15,4655,0.13,0.68,0.15,0.14,11585.375172
16,Antique_Item_16,3485,0.67,0.18,0.58,0.46,15842.043578799998
17,Antique_Item_17,4217,0.38,0.25,0.59,0.3,15036.029774999997
18,Antique_Item_18,4943,0.56,0.91,0.67,0.43,35172.325582679994
19,Antique_Item_19,3004,0.92,0.65,0.75,0.23,20484.636479999997
20,Antique_Item_20,574,0.32,0.11,0.98,0.46,2431.2344918400004
21,Antique_Item_21,1182,0.47,0.19,0.56,0.26,4064.2172625599997
22,Antique_Item_22,2658,0.78,0.7,0.39,0.1,12297.912132000001
23,Antique_Item_23,2147,0.31,0.1,0.82,0.46,8220.9171044
24,Antique_Item_24,2847,0.17,0.24,0.34,0.14,6309.6412017600005
25,Antique_Item_25,1075,0.36,0.59,0.5,0.23,4288.850099999999
26,Antique_Item_26,1906,0.25,0.72,0.17,0.48,7095.923639999999
27,Antique_Item_27,289,0.94,0.69,0.12,0.48,1570.6015270399998
28,Antique_Item_28,2834,0.83,0.3,0.97,0.33,17664.9395286
29,Antique_Item_29,3105,0.67,0.74,0.85,0.35,22533.716227499997
30,Antique_Item_30,4758,0.88,0.31,0.73,0.28,25948.344514559998
31,Antique_Item_31,1999,0.82,0.39,0.47,0.22,9069.34969668
32,Antique_Item_32,1367,0.27,0.77,0.26,0.23,4762.34833914
33,Antique_Item_33,1628,0.9,0.68,0.24,0.37,8827.9433088
34,Antique_Item_34,3302,0.59,0.86,0.33,0.4,18183.053397599997
35,Antique_Item_35,3656,0.83,0.69,0.59,0.42,25528.744107359995
